,0,1,2,3,4,5,6,7,8,9,10
42,1368.1432,1355.9364,1353.9944,1360.8228,1329.3389,1356.1897,1354.3712,1306.7721,1342.1865,1334.6539,1346.24091
43,1296.9441,1276.712,1255.958,1280.0007,1278.3081,1293.751,1289.0879,1258.2161,1281.0938,1265.5667,1277.5638400000003
44,1198.7684,1181.1577,1171.4874,1200.9088,1196.2924,1194.0018,1211.8958,1156.556,1178.0553,1177.3259,1186.6449499999999
45,1105.7819,1089.4797,1098.1309,1110.6292,1098.1938,1088.9014,1097.5944,1087.4564,1067.1798,1084.8733,1092.82208
46,1051.7521,1027.5977,1019.6262,1029.5996,1027.1006,1027.6873,1037.4957,999.40063,1007.19556,1009.7395,1023.7194890000001
47,983.3629,994.91864,994.27014,995.16766,985.03735,960.38666,1004.4326,928.8497,954.58856,956.8956,975.7909809999999
48,999.6561,1005.30035,1011.07947,991.0552,993.9144,964.5134,1001.84033,943.85913,981.7209,992.81665,988.5755930000001
49,987.738,1004.5303,1010.723,984.05554,978.01337,967.33386,990.2646,951.7167,989.6647,999.4746,986.3514669999998
50,1018.82166,1034.4556,1017.06946,1014.0106,1018.8322,1006.4712,1010.9259,981.5812,989.552,1027.0725,1011.879232
51,1085.7737,1097.4573,1099.5121,1090.3562,1082.5791,1082.4426,1070.7472,1030.5896,1075.873,1089.3192,1080.465
52,1195.0243,1178.0571,1188.6199,1183.5851,1150.8325,1170.1377,1183.3737,1117.3549,1162.7947,1185.6522,1171.54321
53,1248.2762,1234.1731,1276.3748,1259.4495,1254.9811,1244.1636,1255.762,1222.0288,1233.2495,1274.198,1250.26566
54,1303.0813,1281.6136,1333.5776,1301.8816,1288.9092,1290.2205,1309.1877,1271.4783,1259.0767,1289.7972,1292.88237
55,1291.5232,1295.9844,1325.5227,1302.3936,1312.9369,1286.5447,1304.3191,1291.6426,1252.1729,1292.961,1295.6001099999999
56,1281.9207,1286.596,1306.5161,1293.6362,1303.3579,1266.99,1304.4564,1290.5581,1246.7334,1280.9707,1286.17355
57,1253.7292,1280.1401,1274.0387,1274.5476,1277.1671,1247.916,1278.2842,1246.7622,1225.2162,1268.4204,1262.62217
58,1260.3079,1244.6929,1256.6482,1267.417,1252.759,1223.0261,1269.2557,1246.8325,1223.7244,1250.4397,1249.51034
59,1238.494,1230.2405,1260.2744,1260.7933,1246.2098,1222.2833,1270.7415,1223.064,1229.1178,1227.6604,1240.8879000000002
60,1253.7119,1253.599,1238.5526,1259.5857,1234.6653,1224.0002,1264.1179,1241.6111,1224.4912,1261.0781,1245.5413000000003
61,1266.0599,1281.7932,1253.4126,1274.0735,1272.5077,1239.4496,1283.1675,1257.4818,1259.6589,1251.489,1263.90937
62,1323.1893,1304.9368,1328.8208,1335.8613,1299.6162,1291.106,1331.9482,1270.4531,1331.2712,1299.748,1311.6950899999997
63,1400.5249,1362.6445,1376.0029,1377.2166,1341.9744,1333.3551,1408.335,1315.5251,1374.7922,1347.3059,1363.76766
